date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
1/1/2021,California,State,Alpha,1,1.69,,
1/1/2021,California,State,Beta,0,0,,
1/1/2021,California,State,Mu,0,0,,
1/1/2021,California,State,Gamma,0,0,,
1/1/2021,California,State,Total,59,100,,
1/1/2021,California,State,Omicron,1,1.69,,
1/1/2021,California,State,Epsilon,28,47.46,,
1/1/2021,California,State,Delta,0,0,,
1/1/2021,California,State,Lambda,0,0,,
1/1/2021,California,State,Other,29,49.15,,
1/2/2021,California,State,Mu,0,0,,
1/2/2021,California,State,Delta,1,0.93,,
1/2/2021,California,State,Other,53,49.53,,
1/2/2021,California,State,Omicron,1,0.93,,
1/2/2021,California,State,Lambda,0,0,,
1/2/2021,California,State,Beta,0,0,,
1/2/2021,California,State,Gamma,0,0,,
1/2/2021,California,State,Epsilon,46,42.99,,
1/2/2021,California,State,Total,107,100,,
1/2/2021,California,State,Alpha,6,5.61,,
1/3/2021,California,State,Alpha,5,1.87,,
1/3/2021,California,State,Mu,0,0,,
1/3/2021,California,State,Delta,2,0.75,,
1/3/2021,California,State,Epsilon,117,43.82,,
1/3/2021,California,State,Beta,0,0,,
1/3/2021,California,State,Lambda,0,0,,
1/3/2021,California,State,Gamma,1,0.37,,
1/3/2021,California,State,Total,267,100,,
1/3/2021,California,State,Omicron,2,0.75,,
1/3/2021,California,State,Other,140,52.43,,
1/4/2021,California,State,Lambda,0,0,,
1/4/2021,California,State,Omicron,0,0,,
1/4/2021,California,State,Mu,0,0,,
1/4/2021,California,State,Alpha,5,0.4,,
1/4/2021,California,State,Other,558,44.29,,
1/4/2021,California,State,Delta,5,0.4,,
1/4/2021,California,State,Gamma,0,0,,
1/4/2021,California,State,Total,1260,100,,
1/4/2021,California,State,Epsilon,692,54.92,,
1/4/2021,California,State,Beta,0,0,,
1/5/2021,California,State,Omicron,0,0,,
1/5/2021,California,State,Other,356,43.9,,
1/5/2021,California,State,Gamma,0,0,,
1/5/2021,California,State,Mu,0,0,,
1/5/2021,California,State,Delta,0,0,,
1/5/2021,California,State,Epsilon,439,54.13,,
1/5/2021,California,State,Total,811,100,,
1/5/2021,California,State,Beta,0,0,,
1/5/2021,California,State,Alpha,16,1.97,,
1/5/2021,California,State,Lambda,0,0,,
1/6/2021,California,State,Lambda,0,0,,
1/6/2021,California,State,Omicron,2,0.54,,
1/6/2021,California,State,Epsilon,207,55.95,,
1/6/2021,California,State,Mu,0,0,,
1/6/2021,California,State,Delta,3,0.81,,
1/6/2021,California,State,Beta,0,0,,
1/6/2021,California,State,Gamma,0,0,,
1/6/2021,California,State,Other,155,41.89,,
1/6/2021,California,State,Alpha,3,0.81,,
1/6/2021,California,State,Total,370,100,,
1/7/2021,California,State,Other,127,42.47,202.5714286,44.68956823
1/7/2021,California,State,Gamma,0,0,0.142857143,0.031515916
1/7/2021,California,State,Beta,0,0,0,0
1/7/2021,California,State,Epsilon,155,51.84,240.5714286,53.07280176
1/7/2021,California,State,Lambda,0,0,0,0
1/7/2021,California,State,Total,299,100,453.2857143,100
1/7/2021,California,State,Mu,0,0,0,0
1/7/2021,California,State,Delta,0,0,1.571428571,0.346675071
1/7/2021,California,State,Omicron,2,0.67,1.142857143,0.252127324
1/7/2021,California,State,Alpha,15,5.02,7.285714286,1.607311692
1/8/2021,California,State,Beta,0,0,0,0
1/8/2021,California,State,Total,147,100,465.8571429,100
1/8/2021,California,State,Alpha,2,1.36,7.428571429,1.594602883
1/8/2021,California,State,Other,65,44.22,207.7142857,44.58754983
1/8/2021,California,State,Lambda,0,0,0,0
1/8/2021,California,State,Omicron,0,0,1,0.21465808
1/8/2021,California,State,Epsilon,78,53.06,247.7142857,53.17387305
1/8/2021,California,State,Mu,0,0,0,0
1/8/2021,California,State,Delta,2,1.36,1.857142857,0.398650721
1/8/2021,California,State,Gamma,0,0,0.142857143,0.03066544
1/9/2021,California,State,Lambda,0,0,0,0
1/9/2021,California,State,Beta,0,0,0,0
1/9/2021,California,State,Alpha,6,1.12,7.428571429,1.409596097
1/9/2021,California,State,Mu,0,0,0,0
1/9/2021,California,State,Other,220,41.12,231.5714286,43.94144755
1/9/2021,California,State,Gamma,0,0,0.142857143,0.027107617
1/9/2021,California,State,Epsilon,307,57.38,285,54.07969639
1/9/2021,California,State,Total,535,100,527,100
1/9/2021,California,State,Delta,1,0.19,1.857142857,0.352399024
1/9/2021,California,State,Omicron,1,0.19,1,0.189753321
1/10/2021,California,State,Lambda,0,0,0,0
1/10/2021,California,State,Omicron,1,0.62,0.857142857,0.167504188
1/10/2021,California,State,Other,69,43.12,221.4285714,43.27191513
1/10/2021,California,State,Total,160,100,511.7142857,100
1/10/2021,California,State,Delta,0,0,1.571428571,0.307091011
1/10/2021,California,State,Epsilon,90,56.25,281.1428571,54.94137353
1/10/2021,California,State,Gamma,0,0,0,0
1/10/2021,California,State,Alpha,0,0,6.714285714,1.312116136
1/10/2021,California,State,Mu,0,0,0,0
1/10/2021,California,State,Beta,0,0,0,0
1/11/2021,California,State,Alpha,8,1.41,7.142857143,1.731301939
1/11/2021,California,State,Beta,1,0.18,0.142857143,0.034626039
1/11/2021,California,State,Epsilon,273,48.23,221.2857143,53.63573407
1/11/2021,California,State,Other,279,49.29,181.5714286,44.00969529
1/11/2021,California,State,Gamma,0,0,0,0
1/11/2021,California,State,Mu,1,0.18,0.142857143,0.034626039
1/11/2021,California,State,Total,566,100,412.5714286,100
1/11/2021,California,State,Lambda,0,0,0,0
1/11/2021,California,State,Delta,2,0.35,1.142857143,0.27700831
1/11/2021,California,State,Omicron,2,0.35,1.142857143,0.27700831
1/12/2021,California,State,Beta,0,0,0.142857143,0.037979491
1/12/2021,California,State,Total,556,100,376.1428571,100
1/12/2021,California,State,Other,241,43.35,165.1428571,43.90429168
1/12/2021,California,State,Lambda,0,0,0,0
1/12/2021,California,State,Gamma,1,0.18,0.142857143,0.037979491
1/12/2021,California,State,Omicron,0,0,1.142857143,0.303835929
1/12/2021,California,State,Mu,0,0,0.142857143,0.037979491
1/12/2021,California,State,Alpha,9,1.62,6.142857143,1.633118116
1/12/2021,California,State,Delta,1,0.18,1.285714286,0.34181542
1/12/2021,California,State,Epsilon,304,54.68,202,53.70300038
1/13/2021,California,State,Alpha,9,1.55,7,1.724137931
1/13/2021,California,State,Epsilon,339,58.55,220.8571429,54.39831105
1/13/2021,California,State,Total,579,100,406,100
1/13/2021,California,State,Delta,1,0.17,1,0.246305419
1/13/2021,California,State,Omicron,2,0.35,1.142857143,0.281491907
1/13/2021,California,State,Other,228,39.38,175.5714286,43.24419423
1/13/2021,California,State,Gamma,0,0,0.142857143,0.035186488
1/13/2021,California,State,Beta,0,0,0.142857143,0.035186488
1/13/2021,California,State,Mu,0,0,0.142857143,0.035186488
1/13/2021,California,State,Lambda,0,0,0,0
1/14/2021,California,State,Total,674,100,459.5714286,100
1/14/2021,California,State,Omicron,0,0,0.857142857,0.18650917
1/14/2021,California,State,Mu,0,0,0.142857143,0.031084862
1/14/2021,California,State,Lambda,0,0,0,0
1/14/2021,California,State,Alpha,14,2.08,6.857142857,1.49207336
1/14/2021,California,State,Beta,0,0,0.142857143,0.031084862
1/14/2021,California,State,Delta,0,0,1,0.217594032
1/14/2021,California,State,Gamma,0,0,0.142857143,0.031084862
1/14/2021,California,State,Epsilon,425,63.06,259.4285714,56.4501088
1/14/2021,California,State,Other,235,34.87,191,41.56046006
1/15/2021,California,State,Mu,0,0,0.142857143,0.027487631
1/15/2021,California,State,Other,238,41.9,215.7142857,41.50632216
1/15/2021,California,State,Beta,0,0,0.142857143,0.027487631
1/15/2021,California,State,Omicron,0,0,0.857142857,0.164925783
1/15/2021,California,State,Epsilon,320,56.34,294,56.56954371
1/15/2021,California,State,Alpha,8,1.41,7.714285714,1.484332051
1/15/2021,California,State,Total,568,100,519.7142857,100
1/15/2021,California,State,Lambda,0,0,0,0
1/15/2021,California,State,Delta,2,0.35,1,0.192413414
1/15/2021,California,State,Gamma,0,0,0.142857143,0.027487631
1/16/2021,California,State,Lambda,0,0,0,0
1/16/2021,California,State,Epsilon,389,52.93,305.7142857,55.7582074
1/16/2021,California,State,Delta,0,0,0.857142857,0.156331423
1/16/2021,California,State,Omicron,0,0,0.714285714,0.130276186
1/16/2021,California,State,Alpha,17,2.31,9.285714286,1.693590412
1/16/2021,California,State,Beta,0,0,0.142857143,0.026055237
1/16/2021,California,State,Mu,0,0,0.142857143,0.026055237
1/16/2021,California,State,Total,735,100,548.2857143,100
1/16/2021,California,State,Gamma,0,0,0.142857143,0.026055237
1/16/2021,California,State,Other,329,44.76,231.2857143,42.18342887
1/17/2021,California,State,Alpha,3,0.96,9.714285714,1.703406814
1/17/2021,California,State,Total,314,100,570.2857143,100
1/17/2021,California,State,Epsilon,182,57.96,318.8571429,55.91182365
1/17/2021,California,State,Omicron,0,0,0.571428571,0.100200401
1/17/2021,California,State,Beta,0,0,0.142857143,0.0250501
1/17/2021,California,State,Delta,0,0,0.857142857,0.150300601
1/17/2021,California,State,Other,128,40.76,239.7142857,42.03406814
1/17/2021,California,State,Gamma,1,0.32,0.285714286,0.0501002
1/17/2021,California,State,Lambda,0,0,0,0
1/17/2021,California,State,Mu,0,0,0.142857143,0.0250501
1/18/2021,California,State,Epsilon,430,57.56,341.2857143,57.24898155
1/18/2021,California,State,Lambda,0,0,0,0
1/18/2021,California,State,Beta,0,0,0,0
1/18/2021,California,State,Delta,1,0.13,0.714285714,0.119817877
1/18/2021,California,State,Mu,0,0,0,0
1/18/2021,California,State,Total,747,100,596.1428571,100
1/18/2021,California,State,Alpha,13,1.74,10.42857143,1.749341002
1/18/2021,California,State,Omicron,0,0,0.285714286,0.047927151
1/18/2021,California,State,Other,303,40.56,243.1428571,40.78600527
1/18/2021,California,State,Gamma,0,0,0.285714286,0.047927151
1/19/2021,California,State,Beta,0,0,0,0
1/19/2021,California,State,Lambda,0,0,0,0
1/19/2021,California,State,Mu,0,0,0,0
1/19/2021,California,State,Other,516,42.57,282.4285714,40.94015324
1/19/2021,California,State,Alpha,19,1.57,11.85714286,1.718782357
1/19/2021,California,State,Gamma,0,0,0.142857143,0.020708221
1/19/2021,California,State,Delta,1,0.08,0.714285714,0.103541106
1/19/2021,California,State,Total,1212,100,689.8571429,100
1/19/2021,California,State,Epsilon,675,55.69,394.2857143,57.15469041
1/19/2021,California,State,Omicron,1,0.08,0.428571429,0.062124663
1/20/2021,California,State,Beta,0,0,0,0
1/20/2021,California,State,Delta,0,0,0.571428571,0.08886914
1/20/2021,California,State,Alpha,15,5.98,12.71428571,1.977338369
1/20/2021,California,State,Gamma,1,0.4,0.285714286,0.04443457
1/20/2021,California,State,Other,78,31.08,261,40.59097978
1/20/2021,California,State,Mu,0,0,0,0
1/20/2021,California,State,Lambda,0,0,0,0
1/20/2021,California,State,Epsilon,157,62.55,368.2857143,57.27616085
1/20/2021,California,State,Total,251,100,643,100
1/20/2021,California,State,Omicron,0,0,0.142857143,0.022217285
1/21/2021,California,State,Lambda,0,0,0,0
1/21/2021,California,State,Delta,1,1.14,0.714285714,0.127713921
1/21/2021,California,State,Epsilon,43,48.86,313.7142857,56.09195402
1/21/2021,California,State,Mu,0,0,0,0
1/21/2021,California,State,Omicron,0,0,0.142857143,0.025542784
1/21/2021,California,State,Total,88,100,559.2857143,100
1/21/2021,California,State,Beta,0,0,0,0
1/21/2021,California,State,Gamma,0,0,0.285714286,0.051085568
1/21/2021,California,State,Other,17,19.32,229.8571429,41.09833972
1/21/2021,California,State,Alpha,27,30.68,14.57142857,2.605363985
1/22/2021,California,State,Lambda,0,0,0,0
1/22/2021,California,State,Other,12,25,197.5714286,40.73637703
1/22/2021,California,State,Mu,0,0,0,0
1/22/2021,California,State,Delta,1,2.08,0.571428571,0.117820324
1/22/2021,California,State,Epsilon,28,58.33,272,56.08247423
1/22/2021,California,State,Gamma,0,0,0.285714286,0.058910162
1/22/2021,California,State,Total,48,100,485,100
1/22/2021,California,State,Alpha,7,14.58,14.42857143,2.974963181
1/22/2021,California,State,Beta,0,0,0,0
1/22/2021,California,State,Omicron,0,0,0.142857143,0.029455081
1/23/2021,California,State,Total,26,100,383.7142857,100
1/23/2021,California,State,Alpha,11,42.31,13.57142857,3.536857781
1/23/2021,California,State,Beta,0,0,0,0
1/23/2021,California,State,Mu,0,0,0,0
1/23/2021,California,State,Delta,0,0,0.571428571,0.148920328
1/23/2021,California,State,Epsilon,11,42.31,218,56.81310499
1/23/2021,California,State,Gamma,0,0,0.285714286,0.074460164
1/23/2021,California,State,Other,4,15.38,151.1428571,39.38942666
1/23/2021,California,State,Lambda,0,0,0,0
1/23/2021,California,State,Omicron,0,0,0.142857143,0.037230082
1/24/2021,California,State,Other,4,8.7,133.4285714,38.62696443
1/24/2021,California,State,Lambda,0,0,0,0
1/24/2021,California,State,Epsilon,35,76.09,197,57.0306038
1/24/2021,California,State,Beta,0,0,0,0
1/24/2021,California,State,Omicron,0,0,0.142857143,0.041356493
1/24/2021,California,State,Total,46,100,345.4285714,100
1/24/2021,California,State,Alpha,7,15.22,14.14285714,4.094292804
1/24/2021,California,State,Gamma,0,0,0.142857143,0.041356493
1/24/2021,California,State,Mu,0,0,0,0
1/24/2021,California,State,Delta,0,0,0.571428571,0.165425972
1/25/2021,California,State,Beta,0,0,0,0
1/25/2021,California,State,Other,32,38.1,94.71428571,37.77777778
1/25/2021,California,State,Lambda,0,0,0,0
1/25/2021,California,State,Gamma,0,0,0.142857143,0.056980057
1/25/2021,California,State,Delta,0,0,0.428571429,0.170940171
1/25/2021,California,State,Omicron,0,0,0.142857143,0.056980057
1/25/2021,California,State,Total,84,100,250.7142857,100
1/25/2021,California,State,Mu,0,0,0,0
1/25/2021,California,State,Epsilon,48,57.14,142.4285714,56.80911681
1/25/2021,California,State,Alpha,4,4.76,12.85714286,5.128205128
1/26/2021,California,State,Delta,1,0.17,0.428571429,0.268576544
1/26/2021,California,State,Gamma,0,0,0.142857143,0.089525515
1/26/2021,California,State,Epsilon,347,60.45,95.57142857,59.89256938
1/26/2021,California,State,Beta,0,0,0,0
1/26/2021,California,State,Omicron,0,0,0,0
1/26/2021,California,State,Mu,0,0,0,0
1/26/2021,California,State,Alpha,9,1.57,11.42857143,7.162041182
1/26/2021,California,State,Other,217,37.8,52,32.58728738
1/26/2021,California,State,Lambda,0,0,0,0
1/26/2021,California,State,Total,574,100,159.5714286,100
1/27/2021,California,State,Omicron,0,0,0,0
1/27/2021,California,State,Mu,0,0,0,0
1/27/2021,California,State,Lambda,0,0,0,0
1/27/2021,California,State,Other,230,32.76,73.71428571,32.90816327
1/27/2021,California,State,Epsilon,459,65.38,138.7142857,61.92602041
1/27/2021,California,State,Delta,1,0.14,0.571428571,0.255102041
1/27/2021,California,State,Gamma,0,0,0,0
1/27/2021,California,State,Alpha,12,1.71,11,4.910714286
1/27/2021,California,State,Total,702,100,224,100
1/27/2021,California,State,Beta,0,0,0,0
1/28/2021,California,State,Other,305,35.14,114.8571429,34.24190801
1/28/2021,California,State,Alpha,26,3,10.85714286,3.236797274
1/28/2021,California,State,Lambda,0,0,0,0
1/28/2021,California,State,Omicron,0,0,0,0
1/28/2021,California,State,Beta,2,0.23,0.285714286,0.085178876
1/28/2021,California,State,Mu,0,0,0,0
1/28/2021,California,State,Delta,1,0.12,0.571428571,0.170357751
1/28/2021,California,State,Gamma,3,0.35,0.428571429,0.127768313
1/28/2021,California,State,Total,868,100,335.4285714,100
1/28/2021,California,State,Epsilon,531,61.18,208.4285714,62.13798978
1/29/2021,California,State,Lambda,0,0,0,0
1/29/2021,California,State,Beta,0,0,0.285714286,0.079649542
1/29/2021,California,State,Total,211,100,358.7142857,100
1/29/2021,California,State,Other,53,25.12,120.7142857,33.6519315
1/29/2021,California,State,Mu,0,0,0,0
1/29/2021,California,State,Omicron,0,0,0,0
1/29/2021,California,State,Delta,1,0.47,0.571428571,0.159299084
1/29/2021,California,State,Alpha,10,4.74,11.28571429,3.14615691
1/29/2021,California,State,Epsilon,145,68.72,225.1428571,62.76383911
1/29/2021,California,State,Gamma,2,0.95,0.714285714,0.199123855
1/30/2021,California,State,Alpha,2,1.85,10,2.699575781
1/30/2021,California,State,Lambda,0,0,0,0
1/30/2021,California,State,Delta,0,0,0.571428571,0.154261473
1/30/2021,California,State,Omicron,0,0,0,0
1/30/2021,California,State,Other,27,25,124,33.47473968
1/30/2021,California,State,Total,108,100,370.4285714,100
1/30/2021,California,State,Epsilon,79,73.15,234.8571429,63.40146548
1/30/2021,California,State,Gamma,0,0,0.714285714,0.192826841
1/30/2021,California,State,Mu,0,0,0,0
1/30/2021,California,State,Beta,0,0,0.285714286,0.077130737
1/31/2021,California,State,Total,238,100,397.8571429,100
1/31/2021,California,State,Lambda,0,0,0,0
1/31/2021,California,State,Delta,0,0,0.571428571,0.143626571
1/31/2021,California,State,Other,82,34.45,135.1428571,33.96768402
1/31/2021,California,State,Mu,0,0,0,0
1/31/2021,California,State,Beta,0,0,0.285714286,0.071813285
1/31/2021,California,State,Gamma,0,0,0.714285714,0.179533214
1/31/2021,California,State,Alpha,2,0.84,9.285714286,2.333931777
1/31/2021,California,State,Epsilon,154,64.71,251.8571429,63.30341113
1/31/2021,California,State,Omicron,0,0,0,0
2/1/2021,California,State,Total,786,100,498.1428571,100
2/1/2021,California,State,Alpha,10,1.27,10.14285714,2.036134213
2/1/2021,California,State,Delta,0,0,0.571428571,0.114711787
2/1/2021,California,State,Gamma,0,0,0.714285714,0.143389733
2/1/2021,California,State,Epsilon,554,70.48,324.1428571,65.07026097
2/1/2021,California,State,Omicron,0,0,0,0
2/1/2021,California,State,Other,222,28.24,162.2857143,32.5781474
2/1/2021,California,State,Lambda,0,0,0,0
2/1/2021,California,State,Beta,0,0,0.285714286,0.057355893
2/1/2021,California,State,Mu,0,0,0,0
2/2/2021,California,State,Delta,0,0,0.428571429,0.071157495
2/2/2021,California,State,Omicron,0,0,0,0
2/2/2021,California,State,Lambda,0,0,0,0
2/2/2021,California,State,Beta,0,0,0.285714286,0.04743833
2/2/2021,California,State,Epsilon,974,74.75,413.7142857,68.69070209
2/2/2021,California,State,Other,296,22.72,173.5714286,28.81878558
2/2/2021,California,State,Gamma,0,0,0.714285714,0.118595825
2/2/2021,California,State,Total,1303,100,602.2857143,100
2/2/2021,California,State,Alpha,33,2.53,13.57142857,2.253320683
2/2/2021,California,State,Mu,0,0,0,0
2/3/2021,California,State,Epsilon,808,74.33,463.5714286,70.52814606
2/3/2021,California,State,Gamma,0,0,0.714285714,0.108672028
2/3/2021,California,State,Alpha,29,2.67,16,2.434253423
2/3/2021,California,State,Total,1087,100,657.2857143,100
2/3/2021,California,State,Omicron,0,0,0,0
2/3/2021,California,State,Lambda,0,0,0,0
2/3/2021,California,State,Mu,0,0,0,0
2/3/2021,California,State,Other,249,22.91,176.2857143,26.82025647
2/3/2021,California,State,Delta,0,0,0.285714286,0.043468811
2/3/2021,California,State,Beta,1,0.09,0.428571429,0.065203217
2/4/2021,California,State,Other,107,20.27,148,24.31354142
2/4/2021,California,State,Delta,0,0,0.142857143,0.023468669
2/4/2021,California,State,Epsilon,406,76.89,445.7142857,73.2222483
2/4/2021,California,State,Mu,0,0,0,0
2/4/2021,California,State,Total,528,100,608.7142857,100
2/4/2021,California,State,Omicron,0,0,0,0
2/4/2021,California,State,Lambda,0,0,0,0
2/4/2021,California,State,Gamma,0,0,0.285714286,0.046937339
2/4/2021,California,State,Beta,0,0,0.142857143,0.023468669
2/4/2021,California,State,Alpha,15,2.84,14.42857143,2.370335602
2/5/2021,California,State,Beta,0,0,0.142857143,0.023068051
2/5/2021,California,State,Alpha,23,8.07,16.28571429,2.629757785
2/5/2021,California,State,Mu,0,0,0,0
2/5/2021,California,State,Other,75,26.32,151.1428571,24.40599769
2/5/2021,California,State,Gamma,0,0,0,0
2/5/2021,California,State,Omicron,0,0,0,0
2/5/2021,California,State,Epsilon,187,65.61,451.7142857,72.94117647
2/5/2021,California,State,Lambda,0,0,0,0
2/5/2021,California,State,Total,285,100,619.2857143,100
2/5/2021,California,State,Delta,0,0,0,0
2/6/2021,California,State,Beta,0,0,0.142857143,0.021682567
2/6/2021,California,State,Omicron,0,0,0,0
2/6/2021,California,State,Epsilon,271,70.39,479.1428571,72.72333044
2/6/2021,California,State,Delta,0,0,0,0
2/6/2021,California,State,Gamma,0,0,0,0
2/6/2021,California,State,Total,385,100,658.8571429,100
2/6/2021,California,State,Alpha,15,3.9,18.14285714,2.753686036
2/6/2021,California,State,Mu,0,0,0,0
2/6/2021,California,State,Lambda,0,0,0,0
2/6/2021,California,State,Other,99,25.71,161.4285714,24.50130095
2/7/2021,California,State,Lambda,0,0,0,0
2/7/2021,California,State,Beta,0,0,0.142857143,0.021777003
2/7/2021,California,State,Gamma,0,0,0,0
2/7/2021,California,State,Omicron,0,0,0,0
2/7/2021,California,State,Delta,1,0.46,0.142857143,0.021777003
2/7/2021,California,State,Mu,0,0,0,0
2/7/2021,California,State,Alpha,4,1.83,18.42857143,2.809233449
2/7/2021,California,State,Total,218,100,656,100
2/7/2021,California,State,Epsilon,170,77.98,481.4285714,73.38850174
2/7/2021,California,State,Other,43,19.72,155.8571429,23.7587108
2/8/2021,California,State,Beta,0,0,0.142857143,0.023245002
